Date,Portfolio_CumReturn,SP500_CumReturn,NASDAQ_CumReturn,Vol_Daily,Vol_Weekly,Vol_Monthly,Drawdown_Current,Drawdown_Max,Return_Port_Daily,Return_Port_Weekly,Return_Port_Monthly,Return_SP_Weekly,Return_SP_Monthly,Return_NASDAQ_Weekly,Return_NASDAQ_Monthly,Sharpe_Monthly_Rolling
2025-04-08,200.0,105.91,104.63,56.77,78.14,58.41,-35.55,-36.88,-1.37,-12.57,-9.97,-11.54,-11.25,-12.5,-12.6,-1.872
2025-04-09,237.45,115.99,117.36,59.74,172.7,88.35,-23.48,-36.88,18.72,3.54,5.13,-3.77,-2.07,-2.7,-1.78,1.08
2025-04-10,223.41,111.97,112.3,59.18,166.95,88.04,-28.01,-36.88,-5.91,5.67,-7.06,-2.38,-5.92,-0.99,-7.15,-0.599
2025-04-11,230.38,114.0,114.61,59.11,147.24,88.8,-25.76,-36.88,3.12,17.62,-4.02,5.7,-2.86,7.29,-3.34,-0.153
2025-04-14,229.93,114.9,115.35,59.0,149.74,86.66,-25.9,-36.88,-0.2,13.39,-9.01,6.79,-4.13,7.87,-5.2,-0.914
2025-04-15,233.02,114.7,115.29,58.91,146.09,86.68,-24.91,-36.88,1.35,16.51,-6.13,8.31,-4.91,10.19,-5.53,-0.484
2025-04-16,217.01,112.13,111.75,59.23,70.68,89.1,-30.07,-36.88,-6.87,-8.61,-9.48,-3.32,-6.04,-4.78,-6.84,-0.934
2025-04-17,210.78,112.28,111.61,59.0,62.03,89.16,-32.08,-36.88,-2.87,-5.65,-13.64,0.28,-6.92,-0.62,-8.25,-1.564
2025-04-21,201.27,109.64,108.76,59.18,52.24,90.02,-35.14,-36.88,-4.51,-12.64,-18.24,-3.83,-8.91,-5.1,-10.29,-2.265
2025-04-22,205.38,112.39,111.71,59.19,60.55,90.56,-33.82,-36.88,2.04,-10.68,-15.98,-2.19,-6.7,-3.16,-8.34,-1.888
2025-04-23,213.31,114.26,114.5,59.17,71.43,90.97,-31.26,-36.88,3.86,-8.46,-15.4,-0.38,-6.79,-0.68,-8.14,-1.785
2025-04-24,221.04,116.58,117.64,59.18,61.43,92.17,-28.77,-36.88,3.62,1.86,-11.82,3.96,-5.05,5.27,-6.05,-1.213
2025-04-25,230.55,117.44,119.12,59.23,58.18,91.46,-25.7,-36.88,4.3,9.38,-2.42,4.59,-3.27,6.73,-2.88,0.095
2025-04-28,225.82,117.51,119.01,59.16,41.4,91.46,-27.23,-36.88,-2.05,12.2,-2.42,7.18,-2.89,9.42,-2.46,0.094
2025-04-29,226.42,118.19,119.66,59.14,44.08,91.27,-27.04,-36.88,0.27,10.24,-0.59,5.16,-0.36,7.12,0.8,0.337
2025-04-30,226.21,118.37,119.56,59.13,42.46,91.16,-27.1,-36.88,-0.09,6.05,0.5,3.59,-0.76,4.42,0.85,0.481
2025-05-01,231.8,119.12,121.37,59.15,38.99,91.37,-25.3,-36.88,2.47,4.87,1.33,2.18,-0.51,3.17,1.49,0.589
2025-05-02,237.8,120.87,123.2,59.19,30.82,91.74,-23.37,-36.88,2.59,3.14,3.69,2.92,0.28,3.42,2.14,0.894
2025-05-05,236.39,120.1,122.29,59.19,23.72,86.96,-23.82,-36.88,-0.59,4.68,11.81,2.2,4.7,2.75,7.82,1.938
2025-05-06,235.81,119.17,121.23,59.18,24.87,82.04,-24.01,-36.88,-0.25,4.15,20.39,0.83,10.5,1.31,13.48,3.094
2025-05-07,243.12,119.69,121.56,59.16,27.63,81.89,-21.66,-36.88,3.1,7.47,19.89,1.12,11.24,1.67,13.68,3.037
2025-05-08,243.76,120.39,122.86,59.16,27.0,81.49,-21.45,-36.88,0.26,5.16,21.88,1.07,13.67,1.23,17.42,3.293
2025-05-09,242.26,120.3,122.87,59.12,24.77,50.23,-21.93,-36.88,-0.61,1.88,2.03,-0.47,3.72,-0.27,4.69,0.723
2025-05-12,255.45,124.22,128.21,59.31,41.33,48.35,-17.68,-36.88,5.44,8.07,14.34,3.43,10.94,4.84,14.16,3.57
2025-05-13,269.84,125.12,130.28,59.56,45.72,50.67,-13.04,-36.88,5.63,14.44,17.13,4.99,9.75,7.46,13.67,4.001
2025-05-14,281.08,125.25,131.21,59.69,46.82,51.82,-9.42,-36.88,4.16,15.62,22.25,4.64,9.0,7.94,13.76,4.922
2025-05-15,280.02,125.76,130.98,58.99,49.32,52.03,-9.76,-36.88,-0.38,14.88,20.17,4.47,9.64,6.61,13.61,4.505
2025-05-16,281.21,126.64,131.65,58.94,45.11,43.72,-9.38,-36.88,0.42,16.07,29.58,5.27,12.94,7.15,17.81,7.364
2025-05-19,281.56,126.76,131.68,58.94,43.14,41.3,-9.27,-36.88,0.13,10.22,33.58,2.04,12.89,2.71,17.98,8.666
2025-05-20,279.09,126.26,131.18,58.55,31.8,36.34,-10.06,-36.88,-0.88,3.42,38.66,0.92,15.17,0.7,20.62,11.048
2025-05-21,273.73,124.23,129.33,58.58,14.67,38.27,-11.79,-36.88,-1.92,-2.62,33.28,-0.81,10.53,-1.43,15.78,9.25
2025-05-22,275.87,124.17,129.7,58.45,17.45,37.25,-11.1,-36.88,0.78,-1.48,29.33,-1.27,8.67,-0.98,13.27,8.51
2025-05-23,272.67,123.34,128.41,58.46,16.96,37.11,-12.13,-36.88,-1.16,-3.04,23.36,-2.61,5.8,-2.47,9.15,6.996
2025-05-26,272.67,123.34,128.41,58.27,16.64,35.27,-12.13,-36.88,0.0,-3.16,18.27,-2.7,5.02,-2.49,7.79,5.896
2025-05-27,281.41,125.86,131.57,58.34,31.51,34.56,-9.31,-36.88,3.21,0.83,24.62,-0.32,7.1,0.29,10.56,7.843
2025-05-28,279.98,125.16,130.9,58.12,26.82,34.89,-9.78,-36.88,-0.51,2.28,23.66,0.75,5.89,1.21,9.39,7.502
2025-05-29,289.08,125.66,131.41,58.19,33.54,35.44,-6.84,-36.88,3.25,4.79,27.79,1.2,6.16,1.32,9.91,8.516
2025-05-30,280.64,125.65,130.99,58.27,41.83,37.84,-9.56,-36.88,-2.92,2.92,21.07,1.88,5.49,2.01,7.92,6.269
2025-06-02,285.32,126.17,131.87,58.29,41.98,37.47,-8.06,-36.88,1.67,4.64,19.98,2.29,4.38,2.7,7.04,6.036
